,y_pred,y_pred_fwd,delta_2h,T_set_adjust,Kp_mult,Ki_mult,Kd_mult,T_set
2024-07-28 01:30:00,21.07524059409599,22.315096892677456,1.239856298581465,-0.5,0.8,0.8,1.2,21.5
2024-07-28 02:00:00,21.303576453514697,22.66881685845732,1.3652404049426217,-0.5,0.8,0.8,1.2,21.5
2024-07-28 02:30:00,21.624562024856615,22.996964763881653,1.3724027390250377,-0.5,0.8,0.8,1.2,21.5
2024-07-28 03:00:00,21.964733373451043,23.32406425933389,1.359330885882848,-0.5,0.8,0.8,1.2,21.5
2024-07-28 03:30:00,22.315096892677456,23.58440626919904,1.2693093765215835,-0.5,0.8,0.8,1.2,21.5
2024-07-28 04:00:00,22.66881685845732,23.901006814502086,1.2321899560447669,-0.5,0.8,0.8,1.2,21.5
2024-07-28 04:30:00,22.996964763881653,24.222610161164333,1.2256453972826797,-0.5,0.8,0.8,1.2,21.5
2024-07-28 05:00:00,23.32406425933389,24.48574043150153,1.1616761721676383,-0.5,0.8,0.8,1.2,21.5
2024-07-28 05:30:00,23.58440626919904,24.78008650766968,1.19568023847064,-0.5,0.8,0.8,1.2,21.5
2024-07-28 06:00:00,23.901006814502086,25.79509854483343,1.8940917303313434,-0.5,0.8,0.8,1.2,21.5
2024-07-28 06:30:00,24.222610161164333,25.8704945224244,1.6478843612600684,-0.5,0.8,0.8,1.2,21.5
2024-07-28 07:00:00,24.48574043150153,26.780476551170228,2.2947361196686984,-0.5,0.8,0.8,1.2,21.5
2024-07-28 07:30:00,24.78008650766968,26.791368535553197,2.0112820278835173,-0.5,0.8,0.8,1.2,21.5
2024-07-28 08:00:00,25.79509854483343,25.93785029721692,0.14275175238348936,0.0,1.0,1.0,1.0,22.0
2024-07-28 08:30:00,25.8704945224244,26.07272549279693,0.20223097037252913,0.0,1.0,1.0,1.0,22.0
2024-07-28 09:00:00,26.780476551170228,25.177189175442383,-1.6032873757278452,0.5,1.2,1.1,1.0,22.5
2024-07-28 09:30:00,26.791368535553197,25.049975173483638,-1.7413933620695587,0.5,1.2,1.1,1.0,22.5
2024-07-28 10:00:00,25.93785029721692,25.694985173328103,-0.24286512388881576,0.0,1.0,1.0,1.0,22.0
2024-07-28 10:30:00,26.07272549279693,25.55775349721217,-0.5149719955847623,0.2,1.1,1.05,1.0,22.2
2024-07-28 11:00:00,25.177189175442383,26.1250430669586,0.9478538915162176,-0.2,0.9,0.9,1.1,21.8
2024-07-28 11:30:00,25.049975173483638,25.94016700117618,0.8901918276925436,-0.2,0.9,0.9,1.1,21.8
2024-07-28 12:00:00,25.694985173328103,24.784897011443885,-0.910088161884218,0.2,1.1,1.05,1.0,22.2
2024-07-28 12:30:00,25.55775349721217,24.51537810475493,-1.042375392457238,0.5,1.2,1.1,1.0,22.5
2024-07-28 13:00:00,26.1250430669586,23.49943650430602,-2.6256065626525817,0.5,1.2,1.1,1.0,22.5
2024-07-28 13:30:00,25.94016700117618,23.26124126012195,-2.6789257410542326,0.5,1.2,1.1,1.0,22.5
2024-07-28 14:00:00,24.784897011443885,22.913516259608784,-1.871380751835101,0.5,1.2,1.1,1.0,22.5
2024-07-28 14:30:00,24.51537810475493,22.628692627514816,-1.886685477240114,0.5,1.2,1.1,1.0,22.5
2024-07-28 15:00:00,23.49943650430602,22.3697439261401,-1.129692578165919,0.5,1.2,1.1,1.0,22.5
2024-07-28 15:30:00,23.26124126012195,22.05055544909947,-1.2106858110224792,0.5,1.2,1.1,1.0,22.5
2024-07-28 16:00:00,22.913516259608784,22.58386912531964,-0.32964713428914294,0.2,1.1,1.05,1.0,22.2
2024-07-28 16:30:00,22.628692627514816,22.218024477983846,-0.4106681495309701,0.2,1.1,1.05,1.0,22.2
2024-07-28 17:00:00,22.3697439261401,22.648595930072517,0.2788520039324176,0.0,1.0,1.0,1.0,22.0
2024-07-28 17:30:00,22.05055544909947,22.42590912973854,0.37535368063906915,-0.2,0.9,0.9,1.1,21.8
2024-07-28 18:00:00,22.58386912531964,21.309143087484532,-1.2747260378351086,0.5,1.2,1.1,1.0,22.5
2024-07-28 18:30:00,22.218024477983846,21.30520486544747,-0.9128196125363743,0.2,1.1,1.05,1.0,22.2
2024-07-28 19:00:00,22.648595930072517,20.537620548469235,-2.110975381603282,0.5,1.2,1.1,1.0,22.5
2024-07-28 19:30:00,22.42590912973854,20.481413588223123,-1.9444955415154155,0.5,1.2,1.1,1.0,22.5
2024-07-28 20:00:00,21.309143087484532,20.46449407734675,-0.8446490101377826,0.2,1.1,1.05,1.0,22.2
2024-07-28 20:30:00,21.30520486544747,20.383626462290458,-0.9215784031570138,0.2,1.1,1.05,1.0,22.2
2024-07-28 21:00:00,20.537620548469235,20.495477828327935,-0.042142720141299606,0.0,1.0,1.0,1.0,22.0
2024-07-28 21:30:00,20.481413588223123,20.51836950561169,0.03695591738856763,0.0,1.0,1.0,1.0,22.0
2024-07-28 22:00:00,20.46449407734675,21.302994113538936,0.8385000361921868,-0.2,0.9,0.9,1.1,21.8
2024-07-28 22:30:00,20.383626462290458,21.271650681248587,0.8880242189581296,-0.2,0.9,0.9,1.1,21.8
2024-07-28 23:00:00,20.495477828327935,21.513952172462925,1.0184743441349902,-0.5,0.8,0.8,1.2,21.5
2024-07-28 23:30:00,20.51836950561169,21.715182389791348,1.196812884179657,-0.5,0.8,0.8,1.2,21.5
2024-07-29 00:00:00,21.302994113538936,21.94925137645342,0.6462572629144852,-0.2,0.9,0.9,1.1,21.8
2024-07-29 00:30:00,21.271650681248587,22.299657595566597,1.0280069143180093,-0.5,0.8,0.8,1.2,21.5
2024-07-29 01:00:00,21.513952172462925,22.540979652466092,1.0270274800031665,-0.5,0.8,0.8,1.2,21.5
2024-07-29 01:30:00,21.715182389791348,22.821360449412357,1.1061780596210085,-0.5,0.8,0.8,1.2,21.5
2024-07-29 02:00:00,21.94925137645342,23.15114003574562,1.201888659292198,-0.5,0.8,0.8,1.2,21.5
2024-07-29 02:30:00,22.299657595566597,23.408687551468347,1.1090299559017502,-0.5,0.8,0.8,1.2,21.5
2024-07-29 03:00:00,22.540979652466092,23.72043337164827,1.1794537191821775,-0.5,0.8,0.8,1.2,21.5
2024-07-29 03:30:00,22.821360449412357,23.919201670566533,1.0978412211541766,-0.5,0.8,0.8,1.2,21.5
2024-07-29 04:00:00,23.15114003574562,24.192327187081656,1.041187151336036,-0.5,0.8,0.8,1.2,21.5
2024-07-29 04:30:00,23.408687551468347,24.444352256907624,1.0356647054392774,-0.5,0.8,0.8,1.2,21.5
2024-07-29 05:00:00,23.72043337164827,24.610865303110426,0.8904319314621567,-0.2,0.9,0.9,1.1,21.8
2024-07-29 05:30:00,23.919201670566533,24.78494015267293,0.8657384821063978,-0.2,0.9,0.9,1.1,21.8
2024-07-29 06:00:00,24.192327187081656,25.650352283456044,1.4580250963743886,-0.5,0.8,0.8,1.2,21.5
2024-07-29 06:30:00,24.444352256907624,25.787239960494926,1.3428877035873015,-0.5,0.8,0.8,1.2,21.5
2024-07-29 07:00:00,24.610865303110426,26.710168386467817,2.099303083357391,-0.5,0.8,0.8,1.2,21.5
2024-07-29 07:30:00,24.78494015267293,26.58802506066732,1.8030849079943891,-0.5,0.8,0.8,1.2,21.5
2024-07-29 08:00:00,25.650352283456044,25.749950705916188,0.09959842246014361,0.0,1.0,1.0,1.0,22.0
2024-07-29 08:30:00,25.787239960494926,25.780525303924026,-0.006714656570899535,0.0,1.0,1.0,1.0,22.0
2024-07-29 09:00:00,26.710168386467817,24.85684948759844,-1.8533188988693787,0.5,1.2,1.1,1.0,22.5
2024-07-29 09:30:00,26.58802506066732,24.820949684778697,-1.7670753758886235,0.5,1.2,1.1,1.0,22.5
2024-07-29 10:00:00,25.749950705916188,25.433947751728294,-0.31600295418789415,0.2,1.1,1.05,1.0,22.2
2024-07-29 10:30:00,25.780525303924026,25.216447660130843,-0.5640776437931834,0.2,1.1,1.05,1.0,22.2
2024-07-29 11:00:00,24.85684948759844,25.682261559057082,0.8254120714586435,-0.2,0.9,0.9,1.1,21.8
2024-07-29 11:30:00,24.820949684778697,25.454825109028544,0.6338754242498474,-0.2,0.9,0.9,1.1,21.8
2024-07-29 12:00:00,25.433947751728294,24.351225236420937,-1.0827225153073563,0.5,1.2,1.1,1.0,22.5
2024-07-29 12:30:00,25.216447660130843,24.075551270529875,-1.140896389600968,0.5,1.2,1.1,1.0,22.5
2024-07-29 13:00:00,25.682261559057082,23.16590138068833,-2.5163601783687533,0.5,1.2,1.1,1.0,22.5
2024-07-29 13:30:00,25.454825109028544,22.94671740083443,-2.508107708194114,0.5,1.2,1.1,1.0,22.5
2024-07-29 14:00:00,24.351225236420937,22.6922159460412,-1.659009290379739,0.5,1.2,1.1,1.0,22.5
2024-07-29 14:30:00,24.075551270529875,22.44643333132026,-1.629117939209614,0.5,1.2,1.1,1.0,22.5
2024-07-29 15:00:00,23.16590138068833,22.11649170926342,-1.0494096714249075,0.5,1.2,1.1,1.0,22.5
2024-07-29 15:30:00,22.94671740083443,21.90471540341103,-1.0420019974234016,0.5,1.2,1.1,1.0,22.5
2024-07-29 16:00:00,22.6922159460412,22.55747084722347,-0.1347450988177279,0.0,1.0,1.0,1.0,22.0
2024-07-29 16:30:00,22.44643333132026,22.29468917005453,-0.1517441612657322,0.0,1.0,1.0,1.0,22.0
2024-07-29 17:00:00,22.11649170926342,22.755798480135784,0.6393067708723628,-0.2,0.9,0.9,1.1,21.8
2024-07-29 17:30:00,21.90471540341103,22.594483112983465,0.6897677095724362,-0.2,0.9,0.9,1.1,21.8
2024-07-29 18:00:00,22.55747084722347,21.632169146946232,-0.9253017002772381,0.2,1.1,1.05,1.0,22.2
2024-07-29 18:30:00,22.29468917005453,21.5691953648955,-0.7254938051590294,0.2,1.1,1.05,1.0,22.2
2024-07-29 19:00:00,22.755798480135784,20.859877408698424,-1.8959210714373604,0.5,1.2,1.1,1.0,22.5
2024-07-29 19:30:00,22.594483112983465,20.889339492082552,-1.7051436209009125,0.5,1.2,1.1,1.0,22.5
2024-07-29 20:00:00,21.632169146946232,20.922315807026713,-0.709853339919519,0.2,1.1,1.05,1.0,22.2
2024-07-29 20:30:00,21.5691953648955,20.958417058344303,-0.6107783065511967,0.2,1.1,1.05,1.0,22.2
2024-07-29 21:00:00,20.859877408698424,21.027125511923792,0.16724810322536854,0.0,1.0,1.0,1.0,22.0
2024-07-29 21:30:00,20.889339492082552,21.125143975788212,0.23580448370566032,0.0,1.0,1.0,1.0,22.0
2024-07-29 22:00:00,20.922315807026713,18.575907273440507,-2.3464085335862066,0.5,1.2,1.1,1.0,22.5
2024-07-29 22:30:00,20.958417058344303,18.39848043909605,-2.5599366192482513,0.5,1.2,1.1,1.0,22.5
2024-07-29 23:00:00,21.027125511923792,18.580597633323176,-2.446527878600616,0.5,1.2,1.1,1.0,22.5
2024-07-29 23:30:00,21.125143975788212,18.780394196032034,-2.344749779756178,0.5,1.2,1.1,1.0,22.5
2024-07-30 00:00:00,18.575907273440507,19.02623933491417,0.450332061473663,-0.2,0.9,0.9,1.1,21.8
2024-07-30 00:30:00,18.39848043909605,19.27359487508868,0.8751144359926286,-0.2,0.9,0.9,1.1,21.8
2024-07-30 01:00:00,18.580597633323176,19.387213664754263,0.8066160314310871,-0.2,0.9,0.9,1.1,21.8
2024-07-30 01:30:00,18.780394196032034,19.56867102537592,0.7882768293438858,-0.2,0.9,0.9,1.1,21.8
2024-07-30 02:00:00,19.02623933491417,19.77122438233998,0.7449850474258106,-0.2,0.9,0.9,1.1,21.8
2024-07-30 02:30:00,19.27359487508868,19.978617726347895,0.7050228512592156,-0.2,0.9,0.9,1.1,21.8
2024-07-30 03:00:00,19.387213664754263,20.212202682938578,0.8249890181843149,-0.2,0.9,0.9,1.1,21.8
2024-07-30 03:30:00,19.56867102537592,20.35333843823501,0.7846674128590898,-0.2,0.9,0.9,1.1,21.8
2024-07-30 04:00:00,19.77122438233998,20.659268112136512,0.8880437297965322,-0.2,0.9,0.9,1.1,21.8
2024-07-30 04:30:00,19.978617726347895,20.844371907369904,0.8657541810220089,-0.2,0.9,0.9,1.1,21.8
2024-07-30 05:00:00,20.212202682938578,21.041454372273517,0.8292516893349386,-0.2,0.9,0.9,1.1,21.8
2024-07-30 05:30:00,20.35333843823501,21.2534441695932,0.9001057313581917,-0.2,0.9,0.9,1.1,21.8
2024-07-30 06:00:00,20.659268112136512,22.127191245000052,1.4679231328635396,-0.5,0.8,0.8,1.2,21.5
2024-07-30 06:30:00,20.844371907369904,22.353866432733522,1.5094945253636176,-0.5,0.8,0.8,1.2,21.5
2024-07-30 07:00:00,21.041454372273517,23.20186206309127,2.1604076908177525,-0.5,0.8,0.8,1.2,21.5
2024-07-30 07:30:00,21.2534441695932,23.386467679970956,2.133023510377754,-0.5,0.8,0.8,1.2,21.5
2024-07-30 08:00:00,22.127191245000052,22.733814521053013,0.6066232760529608,-0.2,0.9,0.9,1.1,21.8
2024-07-30 08:30:00,22.353866432733522,22.76136709040546,0.4075006576719389,-0.2,0.9,0.9,1.1,21.8
2024-07-30 09:00:00,23.20186206309127,22.040114744893838,-1.1617473181974312,0.5,1.2,1.1,1.0,22.5
2024-07-30 09:30:00,23.386467679970956,22.135419265015685,-1.251048414955271,0.5,1.2,1.1,1.0,22.5
2024-07-30 10:00:00,22.733814521053013,22.980283471162736,0.24646895010972258,0.0,1.0,1.0,1.0,22.0
2024-07-30 10:30:00,22.76136709040546,22.917961921982297,0.15659483157683596,0.0,1.0,1.0,1.0,22.0
2024-07-30 11:00:00,22.040114744893838,23.524777720142403,1.4846629752485647,-0.5,0.8,0.8,1.2,21.5
2024-07-30 11:30:00,22.135419265015685,23.509585674549562,1.3741664095338777,-0.5,0.8,0.8,1.2,21.5
2024-07-30 12:00:00,22.980283471162736,22.68612111360475,-0.2941623575579868,0.0,1.0,1.0,1.0,22.0
2024-07-30 12:30:00,22.917961921982297,22.54971503796451,-0.36824688401778616,0.2,1.1,1.05,1.0,22.2
2024-07-30 13:00:00,23.524777720142403,21.798120558056695,-1.7266571620857079,0.5,1.2,1.1,1.0,22.5
2024-07-30 13:30:00,23.509585674549562,21.554385569056052,-1.9552001054935104,0.5,1.2,1.1,1.0,22.5
2024-07-30 14:00:00,22.68612111360475,21.22079548219987,-1.4653256314048804,0.5,1.2,1.1,1.0,22.5
2024-07-30 14:30:00,22.54971503796451,20.842408967759923,-1.707306070204588,0.5,1.2,1.1,1.0,22.5
2024-07-30 15:00:00,21.798120558056695,20.537824423600807,-1.2602961344558885,0.5,1.2,1.1,1.0,22.5
